,Station number,Station name,lon,lat
366,32206,Jones Branch & Westbranch Dr,-77.2192634,38.9319188
367,32064,Amherst Ave & Prichard Rd,-77.0483973,39.0359728
368,32402,Baltimore Ave & Van Buren St / Riverdale Park Station,-76.9373513,38.9695888
369,32230,McLean Metro,-77.2079083,38.9237888
370,32010,Philadelphia & Maple Ave,-77.0113383,38.9812878
371,31806,Congress Heights Metro,-76.987823,38.8447107
372,32054,Lyttonsville Rd & Lyttonsville Pl,-77.0511703,38.9996868
373,32208,Tysons West Transit Center,-77.2318274,38.9326438
374,32035,Georgia Ave & Spring St,-77.0315573,38.9993958
375,32023,Montgomery College/W Campus Dr & Mannakee St,-77.1590503,39.0956688
376,32049,Washington Adventist U / Flower Ave & Division St,-77.0000373,38.9867508
377,32030,Broschart & Blackwell Rd,-77.2003244,39.1021068
378,32227,Greensboro & Pinnacle Dr,-77.2303424,38.9224578
379,32203,Tysons One Pl & Chain Bridge Rd,-77.2211814,38.9194828
380,31811,South Capitol & Atlantic St SW,-77.0081353,38.8315238
381,31007,Crystal City Metro / 18th & Bell St,-77.0511,38.8572997
382,32401,Largo Town Center Metro,-76.8446062,38.8998188
383,32050,Spring St & Second Ave,-77.0345013,38.9976608
384,32005,Traville Gateway Dr & Gudelsky Dr,-77.2025034,39.0937908
385,32057,Pooks Hill Rd & Linden Ave,-77.1071453,39.0147238
386,32407,Oxon Hill Park & Ride,-77.0010323,38.7987568
387,32072,Key West Ave & Diamondback Dr,-77.2023564,39.1061598
388,32223,North Shore Dr & Village Rd,-77.3407894,38.9704198
389,31818,Livingston Rd & 3rd St SE,-77.0022323,38.8237378
390,32201,Westpark Dr & Leesburg Pike,-77.2359574,38.9240378
391,31713,Division Ave & Foote St NE,-76.9259093,38.8974148
392,31415,Georgia Ave & Kennedy St NW,-77.0279123,38.9567478
393,32051,Connecticut Ave & Chevy Chase Lake Dr,-77.0769883,38.9941208
394,31823,United Medical Center,-76.9831463,38.8357448
395,32211,Reston Regional Library,-77.3588174,38.9621028
396,32228,Campus Commons,-77.3354274,38.9447148
397,32059,Takoma Park Rec Center,-76.9883133,38.9826578
398,31817,1st & S Capitol St SE / Oxon Run Trail,-77.0054993,38.8244888
399,32405,Largo Rd & Campus Way / Prince Georges's Comm Col,-76.8255372,38.8899478
400,31815,19th & Savannah St SE,-76.9770323,38.8462378
401,31814,Mississippi Ave & 19th St SE / THEARC,-76.9755723,38.8437778
402,32073,Blueridge Ave & Elkins St,-77.0500623,39.0431378
403,32041,Medical Center Dr & Key West Ave,-77.1964444,39.1030988
404,31714,61st St & Banks Pl NE,-76.9135653,38.8918128
405,32022,Dennis & Amherst Ave,-77.0445653,39.0253948
406,32219,Reston YMCA,-77.3684184,38.9553218
407,32070,Key West Ave & Great Seneca Hwy,-77.2038624,39.1056498
408,32210,Town Center Pkwy & Bowman Towne Dr,-77.3619044,38.9625318
409,32221,Greensboro & International Dr,-77.2274194,38.9230908
410,31816,4th St & Mississippi Ave SE,-77.0009023,38.8360078
411,32400,1301 McCormick Dr / Wayne K. Curry Admin Bldg,-76.8432652,38.9083988
